Date,Ville,Température (°C),Précipitations (mm)
2024-01-10,Montreal,10.1,
2024-01-10,Calgary,-2.1,15.3
2024-01-10,Ottawa,,88.6
2024-01-10,Edmonton,13.9,
2024-01-10,Quebec City,13.4,54.4
2024-01-10,Winnipeg,28.3,54.9
2024-01-10,Halifax,,
2024-01-10,Victoria,-3.3,34.6
2024-01-11,Toronto,26.7,53.6
2024-01-11,Vancouver,14.1,13.0
2024-01-11,Montreal,9.0,85.6
2024-01-11,Calgary,31.7,24.7
2024-01-11,Ottawa,25.5,
2024-01-11,Edmonton,32.5,22.0
2024-01-11,Quebec City,25.0,75.8
2024-01-11,Winnipeg,13.9,56.8
2024-01-11,Halifax,,5.6
2024-01-11,Victoria,-7.4,49.1
2024-01-12,Toronto,29.4,21.4
2024-01-12,Vancouver,,65.1
2024-01-12,Montreal,-0.8,94.6
2024-01-12,Calgary,5.4,97.2
2024-01-12,Ottawa,,55.3
2024-01-12,Edmonton,3.5,
2024-01-12,Quebec City,14.2,
2024-01-12,Winnipeg,30.9,
2024-01-12,Halifax,27.1,98.4
2024-01-12,Victoria,,5.6
2024-01-13,Toronto,29.5,96.4
2024-01-13,Vancouver,15.1,
2024-01-13,Montreal,,38.3
2024-01-13,Calgary,-4.7,48.1
2024-01-13,Ottawa,25.7,40.4
2024-01-13,Edmonton,,47.1
2024-01-13,Quebec City,,20.3
2024-01-13,Winnipeg,13.5,70.4
2024-01-13,Halifax,27.0,70.3
2024-01-13,Victoria,19.0,13.2
2024-01-14,Toronto,,91.1
2024-01-14,Vancouver,24.7,
2024-01-14,Montreal,,
2024-01-14,Calgary,23.0,19.8
2024-01-14,Ottawa,8.0,20.7
2024-01-14,Edmonton,17.2,82.4
2024-01-14,Quebec City,31.0,59.2
2024-01-14,Winnipeg,7.7,12.8
2024-01-14,Halifax,34.1,60.1
2024-01-14,Victoria,31.0,63.7
2024-01-15,Toronto,-5.0,10.2
2024-01-15,Vancouver,,90.9
2024-01-15,Montreal,31.1,45.9
2024-01-15,Calgary,14.2,53.7
2024-01-15,Ottawa,13.4,11.1
2024-01-15,Edmonton,23.8,2.4
2024-01-15,Quebec City,22.4,77.5
2024-01-15,Winnipeg,-9.0,
2024-01-15,Halifax,23.2,97.1
2024-01-15,Victoria,-2.3,36.4
2024-01-16,Toronto,8.3,65.5
2024-01-16,Vancouver,10.5,
2024-01-16,Montreal,,13.6
2024-01-16,Calgary,-2.1,65.6
2024-01-16,Ottawa,34.7,54.3
2024-01-16,Edmonton,11.3,
2024-01-16,Quebec City,5.2,72.7
2024-01-16,Winnipeg,25.0,
2024-01-16,Halifax,8.8,43.3
2024-01-16,Victoria,17.4,
2024-01-17,Toronto,-6.4,
2024-01-17,Vancouver,-4.1,90.9
2024-01-17,Montreal,,2.9
2024-01-17,Calgary,7.1,97.0
2024-01-17,Ottawa,29.8,61.1
2024-01-17,Edmonton,25.8,
2024-01-17,Quebec City,,94.4
2024-01-17,Winnipeg,19.3,13.8
2024-01-17,Halifax,2.1,44.7
2024-01-17,Victoria,28.4,
2024-01-18,Toronto,,
2024-01-18,Vancouver,5.0,
2024-01-18,Montreal,32.5,
2024-01-18,Calgary,,
2024-01-18,Ottawa,-6.1,67.2
2024-01-18,Edmonton,,38.6
2024-01-18,Quebec City,12.7,56.6
2024-01-18,Winnipeg,9.5,74.9
2024-01-18,Halifax,,46.8
2024-01-18,Victoria,21.9,21.2
2024-01-19,Toronto,8.5,85.2
2024-01-19,Vancouver,,60.9
2024-01-19,Montreal,,8.4
2024-01-19,Calgary,,27.5
2024-01-19,Ottawa,-3.6,51.8
2024-01-19,Edmonton,21.6,51.9
2024-01-19,Quebec City,21.8,34.6
2024-01-19,Winnipeg,31.8,
2024-01-19,Halifax,23.5,98.3
2024-01-19,Victoria,23.3,59.9
2024-01-20,Toronto,12.7,
2024-01-20,Vancouver,,
2024-01-20,Montreal,24.3,8.1
2024-01-20,Calgary,,29.4
2024-01-20,Ottawa,34.7,
2024-01-20,Edmonton,-1.9,25.4
2024-01-20,Quebec City,19.4,76.1
2024-01-20,Winnipeg,-9.1,
2024-01-20,Halifax,,
2024-01-20,Victoria,33.9,
2024-01-21,Toronto,,
2024-01-21,Vancouver,33.8,23.1
2024-01-21,Montreal,17.4,
2024-01-21,Calgary,,50.5
2024-01-21,Ottawa,23.3,6.1
2024-01-21,Edmonton,20.1,58.2
2024-01-21,Quebec City,6.9,0.9
2024-01-21,Winnipeg,34.2,
2024-01-21,Halifax,11.7,96.3
2024-01-21,Victoria,,59.3
2024-01-22,Toronto,-1.8,25.8
2024-01-22,Vancouver,,30.7
2024-01-22,Montreal,18.9,2.3
2024-01-22,Calgary,27.5,
2024-01-22,Ottawa,10.6,53.7
2024-01-22,Edmonton,31.8,81.1
2024-01-22,Quebec City,11.3,
2024-01-22,Winnipeg,,85.8
2024-01-22,Halifax,26.6,74.2
2024-01-22,Victoria,,8.4
2024-01-23,Toronto,18.6,25.6
2024-01-23,Vancouver,-9.0,48.8
2024-01-23,Montreal,8.1,77.1
2024-01-23,Calgary,,47.4
2024-01-23,Ottawa,17.9,29.5
2024-01-23,Edmonton,18.0,66.6
2024-01-23,Quebec City,16.5,78.3
2024-01-23,Winnipeg,12.0,80.1
2024-01-23,Halifax,,
2024-01-23,Victoria,,72.2
2024-01-24,Toronto,5.0,61.3
2024-01-24,Vancouver,31.2,80.2
2024-01-24,Montreal,,64.2
2024-01-24,Calgary,25.7,68.4
2024-01-24,Ottawa,,41.1
2024-01-24,Edmonton,5.0,
2024-01-24,Quebec City,28.6,3.6
2024-01-24,Winnipeg,28.4,64.3
2024-01-24,Halifax,,40.6
2024-01-24,Victoria,12.0,
2024-01-25,Toronto,,87.8
2024-01-25,Vancouver,-5.2,
2024-01-25,Montreal,-9.4,15.7
2024-01-25,Calgary,,37.1
2024-01-25,Ottawa,11.7,19.8
2024-01-25,Edmonton,,61.3
2024-01-25,Quebec City,-2.1,38.3
2024-01-25,Winnipeg,4.3,70.3
2024-01-25,Halifax,27.3,
2024-01-25,Victoria,3.1,56.6
2024-01-26,Toronto,-1.1,90.7
2024-01-26,Vancouver,12.5,12.8
2024-01-26,Montreal,14.4,78.8
2024-01-26,Calgary,18.8,57.8
2024-01-26,Ottawa,33.4,49.6
2024-01-26,Edmonton,11.7,21.7
2024-01-26,Quebec City,20.3,36.2
2024-01-26,Winnipeg,,44.3
2024-01-26,Halifax,7.1,54.3
2024-01-26,Victoria,-1.6,78.9
2024-01-27,Toronto,23.5,46.5
2024-01-27,Vancouver,-3.0,77.6
2024-01-27,Montreal,21.8,37.4
2024-01-27,Calgary,31.3,
2024-01-27,Ottawa,23.8,60.0
2024-01-27,Edmonton,3.6,63.9
2024-01-27,Quebec City,16.7,
2024-01-27,Winnipeg,18.0,
2024-01-27,Halifax,25.3,
2024-01-27,Victoria,,
2024-01-28,Toronto,20.1,91.2
2024-01-28,Vancouver,,60.7
2024-01-28,Montreal,,74.4
2024-01-28,Calgary,,98.7
2024-01-28,Ottawa,-2.8,
2024-01-28,Edmonton,-9.1,78.4
2024-01-28,Quebec City,13.5,41.6
2024-01-28,Winnipeg,,34.7
2024-01-28,Halifax,33.4,46.2
2024-01-28,Victoria,4.4,24.1
2024-01-29,Toronto,-7.2,50.2
2024-01-29,Vancouver,33.4,92.0
2024-01-29,Montreal,-8.5,87.5
2024-01-29,Calgary,-3.1,50.8
2024-01-29,Ottawa,-1.1,28.3
2024-01-29,Edmonton,15.7,52.0
2024-01-29,Quebec City,-5.8,39.5
2024-01-29,Winnipeg,,
2024-01-29,Halifax,1.9,73.4
2024-01-29,Victoria,7.4,66.9
2024-01-30,Toronto,,
2024-01-30,Vancouver,-4.7,21.5
2024-01-30,Montreal,-4.3,
2024-01-30,Calgary,3.7,4.7
2024-01-30,Ottawa,,74.1
2024-01-30,Edmonton,26.0,
2024-01-30,Quebec City,31.9,4.5
2024-01-30,Winnipeg,8.1,98.8
2024-01-30,Halifax,,28.8
2024-01-30,Victoria,-1.7,26.4
2024-01-31,Toronto,7.4,24.1
2024-01-31,Vancouver,,
2024-01-31,Montreal,20.7,53.9
2024-01-31,Calgary,,41.8
2024-01-31,Ottawa,-3.0,
2024-01-31,Edmonton,-8.2,
2024-01-31,Quebec City,-7.4,69.7
2024-01-31,Winnipeg,25.5,52.6
2024-01-31,Halifax,18.4,
2024-01-31,Victoria,18.2,
2024-02-01,Toronto,,16.2
2024-02-01,Vancouver,28.1,30.9
2024-02-01,Montreal,,50.9
2024-02-01,Calgary,,17.6
2024-02-01,Ottawa,20.9,63.0
2024-02-01,Edmonton,18.7,70.5
2024-02-01,Quebec City,10.8,11.2
2024-02-01,Winnipeg,24.7,27.6
2024-02-01,Halifax,,8.1
2024-02-01,Victoria,2.1,
2024-02-02,Toronto,-8.8,41.6
2024-02-02,Vancouver,22.4,59.0
2024-02-02,Montreal,9.4,76.8
2024-02-02,Calgary,,39.9
2024-02-02,Ottawa,19.4,
2024-02-02,Edmonton,0.4,57.0
2024-02-02,Quebec City,,50.9
2024-02-02,Winnipeg,11.3,16.4
2024-02-02,Halifax,19.1,5.5
2024-02-02,Victoria,8.8,83.0
2024-02-03,Toronto,,
2024-02-03,Vancouver,7.8,90.7
2024-02-03,Montreal,,
2024-02-03,Calgary,25.7,
2024-02-03,Ottawa,3.3,80.4
2024-02-03,Edmonton,27.1,65.2
2024-02-03,Quebec City,9.9,
2024-02-03,Winnipeg,-3.3,
2024-02-03,Halifax,10.1,93.8
2024-02-03,Victoria,25.5,92.5
2024-02-04,Toronto,19.4,97.3
2024-02-04,Vancouver,5.4,
2024-02-04,Montreal,-1.3,56.4
2024-02-04,Calgary,,58.4
2024-02-04,Ottawa,-2.1,9.2
2024-02-04,Edmonton,-8.1,33.4
2024-02-04,Quebec City,9.7,72.2
2024-02-04,Winnipeg,-3.4,92.2
2024-02-04,Halifax,-7.0,87.8
2024-02-04,Victoria,33.8,46.5
2024-02-05,Toronto,25.7,76.1
2024-02-05,Vancouver,,42.8
2024-02-05,Montreal,,11.3
2024-02-05,Calgary,26.5,
2024-02-05,Ottawa,27.0,0.9
2024-02-05,Edmonton,34.8,82.7
2024-02-05,Quebec City,14.1,36.2
2024-02-05,Winnipeg,,63.1
2024-02-05,Halifax,-3.6,11.8
2024-02-05,Victoria,,87.8
2024-02-06,Toronto,4.4,
2024-02-06,Vancouver,34.8,87.0
2024-02-06,Montreal,31.5,9.9
2024-02-06,Calgary,6.9,47.5
2024-02-06,Ottawa,3.2,49.2
2024-02-06,Edmonton,,62.1
2024-02-06,Quebec City,6.0,69.3
2024-02-06,Winnipeg,5.5,89.2
2024-02-06,Halifax,19.1,93.7
2024-02-06,Victoria,,9.0
2024-02-07,Toronto,,66.9
2024-02-07,Vancouver,25.6,56.9
2024-02-07,Montreal,,45.2
2024-02-07,Calgary,4.3,84.8
2024-02-07,Ottawa,15.6,53.1
2024-02-07,Edmonton,20.2,90.6
2024-02-07,Quebec City,1.4,37.3
2024-02-07,Winnipeg,29.7,66.0
2024-02-07,Halifax,-0.5,24.7
2024-02-07,Victoria,4.3,6.9
2024-02-08,Toronto,21.0,56.8
2024-02-08,Vancouver,-7.6,12.4
2024-02-08,Montreal,-7.6,71.9
2024-02-08,Calgary,1.6,19.6
2024-02-08,Ottawa,-5.3,92.6
2024-02-08,Edmonton,7.2,6.1
2024-02-08,Quebec City,24.1,21.6
2024-02-08,Winnipeg,20.1,56.0
2024-02-08,Halifax,,43.5
2024-02-08,Victoria,-9.5,
2024-02-09,Toronto,8.5,
2024-02-09,Vancouver,12.9,
2024-02-09,Montreal,11.5,94.4
2024-02-09,Calgary,12.5,
2024-02-09,Ottawa,,75.6
2024-02-09,Edmonton,2.2,4.1
2024-02-09,Quebec City,28.4,35.3
2024-02-09,Winnipeg,12.0,8.7
2024-02-09,Halifax,19.4,95.5
2024-02-09,Victoria,-5.5,23.8
2024-02-10,Toronto,26.0,27.3
2024-02-10,Vancouver,25.3,24.0
2024-02-10,Montreal,-5.0,
2024-02-10,Calgary,0.4,1.2
2024-02-10,Ottawa,,64.9
2024-02-10,Edmonton,-3.3,
2024-02-10,Quebec City,34.5,94.4
2024-02-10,Winnipeg,31.3,39.4
2024-02-10,Halifax,-3.0,42.7
2024-02-10,Victoria,18.2,
2024-02-11,Toronto,16.6,
2024-02-11,Vancouver,2.2,
2024-02-11,Montreal,,
2024-02-11,Calgary,17.7,50.6
2024-02-11,Ottawa,26.1,
2024-02-11,Edmonton,,63.9
2024-02-11,Quebec City,14.5,79.0
2024-02-11,Winnipeg,14.9,18.9
2024-02-11,Halifax,28.0,45.7
2024-02-11,Victoria,,35.3
2024-02-12,Toronto,5.0,48.9
2024-02-12,Vancouver,5.5,96.6
2024-02-12,Montreal,2.8,15.4
2024-02-12,Calgary,23.0,21.1
2024-02-12,Ottawa,,68.9
2024-02-12,Edmonton,,61.4
2024-02-12,Quebec City,,27.9
2024-02-12,Winnipeg,27.0,
2024-02-12,Halifax,10.5,97.1
2024-02-12,Victoria,34.5,94.1
2024-02-13,Toronto,,22.1
2024-02-13,Vancouver,,
2024-02-13,Montreal,21.1,70.4
2024-02-13,Calgary,25.3,26.7
2024-02-13,Ottawa,17.8,20.3
2024-02-13,Edmonton,-3.9,98.5
2024-02-13,Quebec City,12.2,2.3
2024-02-13,Winnipeg,-3.0,95.7
2024-02-13,Halifax,3.0,73.6
2024-02-13,Victoria,28.5,47.5
2024-02-14,Toronto,,25.0
2024-02-14,Vancouver,4.3,31.6
2024-02-14,Montreal,,45.2
2024-02-14,Calgary,-7.7,19.7
2024-02-14,Ottawa,-3.9,77.9
2024-02-14,Edmonton,-5.1,90.3
2024-02-14,Quebec City,31.2,
2024-02-14,Winnipeg,5.1,60.9
2024-02-14,Halifax,15.5,59.6
2024-02-14,Victoria,29.2,
2024-02-15,Toronto,,
2024-02-15,Vancouver,25.8,29.9
2024-02-15,Montreal,-3.6,16.3
2024-02-15,Calgary,22.4,28.0
2024-02-15,Ottawa,6.0,6.1
2024-02-15,Edmonton,-8.3,90.6
2024-02-15,Quebec City,11.0,
2024-02-15,Winnipeg,,94.3
2024-02-15,Halifax,32.1,
2024-02-15,Victoria,14.9,
2024-02-16,Toronto,,
2024-02-16,Vancouver,32.5,20.6
2024-02-16,Montreal,21.0,75.9
2024-02-16,Calgary,-2.8,43.0
2024-02-16,Ottawa,31.5,22.8
2024-02-16,Edmonton,7.6,24.8
2024-02-16,Quebec City,20.0,70.6
2024-02-16,Winnipeg,2.8,85.5
2024-02-16,Halifax,20.0,64.9
2024-02-16,Victoria,28.9,
2024-02-17,Toronto,18.3,
2024-02-17,Vancouver,18.4,84.4
2024-02-17,Montreal,19.6,98.6
2024-02-17,Calgary,15.8,53.8
2024-02-17,Ottawa,-0.6,52.7
2024-02-17,Edmonton,15.5,61.5
2024-02-17,Quebec City,32.6,84.4
2024-02-17,Winnipeg,-3.7,86.5
2024-02-17,Halifax,19.5,
2024-02-17,Victoria,23.6,11.5
2024-02-18,Toronto,,70.1
2024-02-18,Vancouver,29.3,81.5
2024-02-18,Montreal,-1.1,17.7
2024-02-18,Calgary,-9.9,44.8
2024-02-18,Ottawa,10.1,92.2
2024-02-18,Edmonton,,
2024-02-18,Quebec City,17.9,64.1
2024-02-18,Winnipeg,24.0,45.0
2024-02-18,Halifax,24.3,
2024-02-18,Victoria,10.2,
2024-02-19,Toronto,,96.9
2024-02-19,Vancouver,,27.3
2024-02-19,Montreal,12.9,95.8
2024-02-19,Calgary,0.4,9.3
2024-02-19,Ottawa,,33.5
2024-02-19,Edmonton,,
2024-02-19,Quebec City,,22.9
2024-02-19,Winnipeg,,29.9
2024-02-19,Halifax,-3.7,
2024-02-19,Victoria,9.0,
2024-02-20,Toronto,16.4,
2024-02-20,Vancouver,11.6,4.2
2024-02-20,Montreal,,
2024-02-20,Calgary,32.1,18.5
2024-02-20,Ottawa,8.0,3.3
2024-02-20,Edmonton,6.9,47.4
2024-02-20,Quebec City,-4.6,8.5
2024-02-20,Winnipeg,-1.7,54.5
2024-02-20,Halifax,-0.8,55.0
2024-02-20,Victoria,,66.6
2024-02-21,Toronto,29.5,46.1
2024-02-21,Vancouver,13.8,82.8
2024-02-21,Montreal,26.3,52.8
2024-02-21,Calgary,19.6,74.0
2024-02-21,Ottawa,-3.5,
2024-02-21,Edmonton,-1.0,30.0
2024-02-21,Quebec City,,24.5
2024-02-21,Winnipeg,34.2,12.2
2024-02-21,Halifax,6.4,81.4
2024-02-21,Victoria,,40.6
2024-02-22,Toronto,,84.3
2024-02-22,Vancouver,0.5,43.2
2024-02-22,Montreal,23.5,11.7
2024-02-22,Calgary,3.0,
2024-02-22,Ottawa,6.9,56.6
2024-02-22,Edmonton,27.5,6.6
2024-02-22,Quebec City,-2.1,0.1
2024-02-22,Winnipeg,2.2,17.2
2024-02-22,Halifax,33.3,
2024-02-22,Victoria,22.7,
2024-02-23,Toronto,23.6,
2024-02-23,Vancouver,21.6,
2024-02-23,Montreal,29.1,5.6
2024-02-23,Calgary,31.6,
2024-02-23,Ottawa,,21.3
2024-02-23,Edmonton,9.0,46.0
2024-02-23,Quebec City,,4.3
2024-02-23,Winnipeg,,28.2
2024-02-23,Halifax,3.9,7.5
2024-02-23,Victoria,11.2,3.0
2024-02-24,Toronto,22.0,63.4
2024-02-24,Vancouver,14.1,
2024-02-24,Montreal,12.4,
2024-02-24,Calgary,,64.5
2024-02-24,Ottawa,19.2,40.0
2024-02-24,Edmonton,14.3,14.9
2024-02-24,Quebec City,,31.8
2024-02-24,Winnipeg,28.6,
2024-02-24,Halifax,13.9,23.8
2024-02-24,Victoria,17.9,
2024-02-25,Toronto,16.8,27.9
2024-02-25,Vancouver,30.4,
2024-02-25,Montreal,,
2024-02-25,Calgary,27.3,5.9
2024-02-25,Ottawa,27.0,86.1
2024-02-25,Edmonton,,85.7
2024-02-25,Quebec City,,19.6
2024-02-25,Winnipeg,,1.2
2024-02-25,Halifax,,
2024-02-25,Victoria,17.2,
2024-02-26,Toronto,,35.4
2024-02-26,Vancouver,1.8,21.4
2024-02-26,Montreal,14.4,
2024-02-26,Calgary,33.7,43.2
2024-02-26,Ottawa,,81.6
2024-02-26,Edmonton,11.3,
2024-02-26,Quebec City,27.0,35.6
2024-02-26,Winnipeg,29.9,13.0
2024-02-26,Halifax,-3.7,95.3
2024-02-26,Victoria,-5.5,16.7
2024-02-27,Toronto,24.8,90.1
2024-02-27,Vancouver,33.6,96.9
2024-02-27,Montreal,-6.2,98.8
2024-02-27,Calgary,-1.8,74.6
2024-02-27,Ottawa,20.2,
2024-02-27,Edmonton,24.0,42.1
2024-02-27,Quebec City,,
2024-02-27,Winnipeg,,
2024-02-27,Halifax,15.1,77.6
2024-02-27,Victoria,7.3,30.0
2024-02-28,Toronto,0.6,
2024-02-28,Vancouver,6.5,32.1
2024-02-28,Montreal,29.0,27.3
2024-02-28,Calgary,25.9,22.3
2024-02-28,Ottawa,,
2024-02-28,Edmonton,,40.3
2024-02-28,Quebec City,28.2,
2024-02-28,Winnipeg,0.5,53.4
2024-02-28,Halifax,,10.8
2024-02-28,Victoria,34.2,23.9
2024-02-29,Toronto,,3.2
2024-02-29,Vancouver,2.9,32.6
2024-02-29,Montreal,14.4,
2024-02-29,Calgary,26.6,84.2
2024-02-29,Ottawa,-1.1,89.9
2024-02-29,Edmonton,29.0,6.1
2024-02-29,Quebec City,20.9,92.6
2024-02-29,Winnipeg,,0.8
2024-02-29,Halifax,-6.5,6.9
2024-02-29,Victoria,31.4,75.5
2024-03-01,Toronto,27.2,38.5
2024-03-01,Vancouver,5.5,
2024-03-01,Montreal,4.1,76.4
2024-03-01,Calgary,,68.4
2024-03-01,Ottawa,26.7,
2024-03-01,Edmonton,7.1,23.1
2024-03-01,Quebec City,-5.2,78.5
2024-03-01,Winnipeg,15.7,31.3
2024-03-01,Halifax,4.7,9.7
2024-03-01,Victoria,,88.1
2024-03-02,Toronto,8.8,74.9
2024-03-02,Vancouver,-10.0,0.1
2024-03-02,Montreal,32.3,27.3
2024-03-02,Calgary,,80.0
2024-03-02,Ottawa,-4.2,1.4
2024-03-02,Edmonton,-8.4,46.5
2024-03-02,Quebec City,,14.8
2024-03-02,Winnipeg,,95.3
2024-03-02,Halifax,8.9,
2024-03-02,Victoria,15.2,
2024-03-03,Toronto,,
2024-03-03,Vancouver,-6.4,
2024-03-03,Montreal,32.2,37.9
2024-03-03,Calgary,-8.2,29.9
2024-03-03,Ottawa,3.6,
2024-03-03,Edmonton,,40.3
2024-03-03,Quebec City,28.5,1.3
2024-03-03,Winnipeg,,60.2
2024-03-03,Halifax,31.1,
2024-03-03,Victoria,22.4,
2024-03-04,Toronto,2.4,99.8
2024-03-04,Vancouver,-7.0,
2024-03-04,Montreal,31.7,99.7
2024-03-04,Calgary,31.8,
2024-03-04,Ottawa,-8.8,40.8
2024-03-04,Edmonton,11.4,21.9
2024-03-04,Quebec City,-3.6,
2024-03-04,Winnipeg,15.7,80.4
2024-03-04,Halifax,-2.3,64.9
2024-03-04,Victoria,-3.7,
2024-03-05,Toronto,,
2024-03-05,Vancouver,25.2,88.8
2024-03-05,Montreal,10.4,59.6
2024-03-05,Calgary,8.9,
2024-03-05,Ottawa,35.0,97.9
2024-03-05,Edmonton,-4.5,99.2
2024-03-05,Quebec City,25.0,
2024-03-05,Winnipeg,-2.2,65.8
2024-03-05,Halifax,12.1,12.1
2024-03-05,Victoria,-4.8,39.9
2024-03-06,Toronto,7.1,98.6
2024-03-06,Vancouver,5.5,18.1
2024-03-06,Montreal,-8.5,23.7
2024-03-06,Calgary,12.0,95.4
2024-03-06,Ottawa,-8.1,90.3
2024-03-06,Edmonton,3.7,88.4
2024-03-06,Quebec City,26.6,86.7
2024-03-06,Winnipeg,22.8,0.3
2024-03-06,Halifax,20.6,78.4
2024-03-06,Victoria,-4.9,68.8
2024-03-07,Toronto,31.8,
2024-03-07,Vancouver,26.0,96.2
2024-03-07,Montreal,12.8,61.0
2024-03-07,Calgary,18.6,32.9
2024-03-07,Ottawa,,51.1
2024-03-07,Edmonton,-3.7,55.4
2024-03-07,Quebec City,,
2024-03-07,Winnipeg,4.8,
2024-03-07,Halifax,,4.9
2024-03-07,Victoria,16.6,
2024-03-08,Toronto,-7.3,28.4
2024-03-08,Vancouver,0.8,97.8
2024-03-08,Montreal,25.7,1.5
2024-03-08,Calgary,3.7,39.1
2024-03-08,Ottawa,7.5,10.0
2024-03-08,Edmonton,17.5,
2024-03-08,Quebec City,3.1,51.1
2024-03-08,Winnipeg,17.9,78.3
2024-03-08,Halifax,,
2024-03-08,Victoria,20.3,47.0
2024-03-09,Toronto,19.3,41.8
2024-03-09,Vancouver,22.2,
2024-03-09,Montreal,32.5,32.3
2024-03-09,Calgary,33.3,68.2
2024-03-09,Ottawa,,
2024-03-09,Edmonton,28.7,48.6
2024-03-09,Quebec City,,58.6
2024-03-09,Winnipeg,,38.8
2024-03-09,Halifax,-9.4,
2024-03-09,Victoria,20.1,62.4
2024-03-10,Toronto,24.2,50.0
2024-03-10,Vancouver,,4.4
2024-03-10,Montreal,3.0,
2024-03-10,Calgary,29.0,34.3
2024-03-10,Ottawa,-7.3,2.3
2024-03-10,Edmonton,-1.0,11.2
2024-03-10,Quebec City,23.8,82.3
2024-03-10,Winnipeg,-9.2,36.5
2024-03-10,Halifax,1.4,39.2
2024-03-10,Victoria,3.1,
2024-03-11,Toronto,20.1,83.5
2024-03-11,Vancouver,4.5,37.2
2024-03-11,Montreal,34.8,72.9
2024-03-11,Calgary,18.2,40.3
2024-03-11,Ottawa,0.3,32.8
2024-03-11,Edmonton,34.8,63.1
2024-03-11,Quebec City,19.4,50.4
2024-03-11,Winnipeg,,
2024-03-11,Halifax,15.7,3.5
2024-03-11,Victoria,11.5,68.3
2024-03-12,Toronto,3.3,77.5
2024-03-12,Vancouver,,81.1
2024-03-12,Montreal,14.8,21.5
2024-03-12,Calgary,33.0,
2024-03-12,Ottawa,3.1,68.2
2024-03-12,Edmonton,-5.4,30.6
2024-03-12,Quebec City,9.7,85.7
2024-03-12,Winnipeg,22.3,
2024-03-12,Halifax,8.9,30.8
2024-03-12,Victoria,,39.3
