ID vente,Date,Magasin,Articles,Quantité vendue,Prix unitaire,Ville
cfe76221-2297-4628-894a-5f150d63ab29,2023-04-24,Boutique G7,Tomatoes,254.0,15.46,Vancouver
7f4e2b91-f9d9-4df4-bb92-b542273e1ac4,2024-04-29,Marché C3,Tea,338.0,65.31,Winnipeg
288b007a-ee4f-4845-9fcc-e980ff1465ff,2023-10-31,Boutique G7,Chicken Breast,318.0,146.59,Montreal
059d5922-0c1a-4ec2-a48a-bc737b229a31,2024-07-13,Épicerie B2,Cereal,195.0,52.53,Montreal
17c8f16a-2842-43ae-bc61-da33c739dd80,2024-04-09,Épicerie I9,Rice,232.0,19.28,Ottawa
6211f9b7-6fa6-4d08-b272-03754da6a3a0,2024-12-14,Supermarché A1,Bananas,240.0,106.09,Halifax
57dfaec2-62fa-4990-9156-a094121b8305,2024-10-05,Supermarché J0,Eggs,231.0,22.61,Calgary
74afcd84-3b07-41fe-b9f5-40f3a4a96e0d,2023-03-02,Boutique G7,Coffee,123.0,42.83,Victoria
3390092b-cd40-4bf3-9833-a07982e21b81,2025-01-06,Boutique G7,Cheese,150.0,61.57,Victoria
caad4724-8247-42a2-aebc-45491bed67ef,2023-12-02,Épicerie B2,Eggs,287.0,147.15,Montreal
f5e3bab9-0308-431d-b8ec-7cbc8be5ef1e,2024-08-26,Épicerie B2,Potatoes,259.0,37.4,Edmonton
d83bed67-8fd0-43d1-b009-3355077d37bc,2024-12-08,Alimentation D4,Cereal,206.0,30.22,Quebec City
ece3916d-1787-43ad-aa6c-3a0cbea16313,2024-03-12,Marché C3,Milk,358.0,98.12,Ottawa
5bcd5caf-2deb-4aef-aea1-b092ed1d585e,2023-07-23,Magasin F6,Tea,182.0,38.03,Winnipeg
2b54b8a0-0adf-4e44-a584-2d71c3085ad4,2024-04-03,Supermarché A1,Potatoes,129.0,110.06,Vancouver
63055c1a-7d5d-4ed5-9b34-e68c73b7bc8d,2024-11-14,Boutique G7,Tea,310.0,57.41,Vancouver
05bd7b7c-ea56-478f-89e1-8cde0a742b5b,2023-04-20,Supermarché A1,Orange Juice,299.0,102.72,Halifax
fa60c4fd-c892-4973-a50d-835463ae0267,2024-10-10,Centre E5,Pasta,227.0,159.8,Quebec City
075aacb9-518d-45c2-855a-3fb1083dbdbe,2023-07-28,Marché C3,Bananas,182.0,57.41,Halifax
46eb98f4-1582-4426-a650-f1759f1fba72,2024-08-15,Boutique G7,Coffee,259.0,116.23,Ottawa
aaa750a1-4941-409d-aaab-3efd04a23487,2025-01-26,Alimentation D4,Yogurt,236.0,75.0,Calgary
44ebe843-3d65-438f-ba4a-9d2eed2f5cf6,2023-08-19,Magasin F6,Rice,192.0,136.45,Ottawa
af5b5b0f-f940-4475-ba3c-963f9afea788,2023-10-07,Marché H8,Apples,190.0,143.0,Ottawa
b7d61fd1-96ef-4fbc-b27b-c7534668ba1b,2024-12-05,Épicerie I9,Potatoes,320.0,51.48,Ottawa
cc6a4699-6743-4ef5-b786-9170a8413c38,2023-04-08,Épicerie B2,Ice Cream,357.0,31.61,Winnipeg
3b43466f-dcdf-433e-a845-83b1b107b32d,2024-07-07,Boutique G7,Milk,206.0,187.0,Montreal
2d650ce6-103d-4816-bbc1-efe165050ca4,2023-10-12,Épicerie B2,Peanut Butter,246.0,160.83,Toronto
aaea612f-c5c3-425c-a6bc-df6c6d0ed711,2024-10-16,Supermarché J0,Tea,349.0,27.15,Quebec City
081c968e-7b53-4427-8552-cce08d742ed6,2024-08-02,Alimentation D4,Potatoes,335.0,104.04,Victoria
5fd92aae-f5cf-481e-ba20-ba3afd9243eb,2023-08-09,Alimentation D4,Chicken Breast,271.0,99.98,Calgary
00931da3-2d14-4ef7-acb6-eb0705f1a2a6,2024-12-06,Supermarché A1,Eggs,286.0,49.73,Winnipeg
2566b00e-ac6c-43c7-919f-e083605b19f1,2023-06-10,Marché H8,Coffee,199.0,27.99,Victoria
be6e5a73-9e4b-48f3-a5be-5bd4904a34da,2024-09-08,Centre E5,Peanut Butter,344.0,31.9,Edmonton
4748a72d-fc40-4d4a-a2d2-a5a8f85c2b95,2023-02-09,Marché C3,Frozen Pizza,179.0,92.96,Toronto
b66808e0-7e32-4f61-8d24-a2f42d0b7e5e,2023-04-01,Marché C3,Bananas,210.0,19.49,Calgary
f5d7a939-e452-4f5c-84b5-33bf7954fcde,2024-12-30,Centre E5,Frozen Pizza,190.0,180.54,Edmonton
af656f9b-b278-43fb-9de3-926db244eda0,2024-12-29,Alimentation D4,Tomatoes,146.0,32.25,Vancouver
f7ff3f3f-01ba-4acb-a358-5ae7ed619501,2023-08-06,Centre E5,Frozen Pizza,360.0,104.97,Toronto
e95cb3c5-f2f1-4a77-b754-f124d6304b8a,2023-06-29,Magasin F6,Coffee,161.0,88.0,Vancouver
df83c36f-d4ea-43c4-b766-211459e19bfa,2025-01-11,Boutique G7,Frozen Pizza,189.0,65.91,Victoria
abbd77d5-71d2-4de9-8382-3a16ae75c734,2023-05-14,Marché C3,Ground Beef,167.0,180.3,Calgary
8752ad60-424d-4a6c-baab-485e522b5701,2023-08-03,Supermarché A1,Rice,185.0,22.78,Victoria
02ba49dd-8e2b-4561-b14b-0342b32ebf57,2024-05-25,Boutique G7,Coffee,193.0,153.95,Montreal
dbbade73-7378-4fc3-b12a-ea6dedf47e3e,2024-01-03,Centre E5,Milk,142.0,86.95,Calgary
caae09f6-a6d2-4eae-93aa-caa3855da44f,2024-07-13,Alimentation D4,Cheese,294.0,44.03,Halifax
e0e063f0-7d19-4f66-bf95-7f93533dc951,2024-07-04,Boutique G7,Frozen Pizza,281.0,39.49,Winnipeg
c2c90911-6084-4f85-b30e-b5d7ee35b875,2023-10-15,Épicerie I9,Apples,370.0,135.7,Toronto
8fc4c571-21c8-4bd9-a000-af3a0b835356,2023-12-19,Marché H8,Frozen Pizza,412.0,107.24,Toronto
07614482-b523-4522-986f-e18600cc2802,2024-08-15,Alimentation D4,Cheese,332.0,110.46,Winnipeg
fcf2d58c-0d92-45d3-b660-6bc696c42fce,2024-09-11,Magasin F6,Rice,328.0,119.99,Quebec City
05d1444f-2810-42f2-acbc-b6f7138d91ef,2024-06-18,Supermarché A1,Orange Juice,174.0,105.62,Toronto
86ebc5f2-79b9-4741-ac50-f85ff477b834,2024-04-12,Supermarché J0,Apples,264.0,45.19,Toronto
f8f73006-7011-4622-8bc7-87794aecc660,2024-09-19,Magasin F6,Tea,201.0,90.65,Ottawa
0a748b58-3669-42f3-b5b5-35101efc4843,2024-08-08,Épicerie I9,Ice Cream,229.0,117.94,Montreal
b3e6f774-bed6-41e7-acc6-2db2873e3ce9,2024-12-10,Magasin F6,Cheese,308.0,162.31,Quebec City
b2bae203-e5ed-4f66-9d6a-2867029b74e6,2023-08-31,Épicerie I9,Chicken Breast,197.0,90.69,Edmonton
f661a2f3-aa15-4f89-b35d-3c6a344fb1da,2023-10-11,Centre E5,Bread,219.0,150.03,Montreal
df818a2f-90fa-424b-9103-0d1bd3555ab0,2024-01-13,Marché C3,Eggs,216.0,177.05,Halifax
2d379f29-5111-4e19-b91e-c316971670ad,2024-06-20,Épicerie I9,Milk,196.0,133.95,Quebec City
5efaf4c7-e93f-43d9-8665-9a3b5ed52c22,2024-02-24,Boutique G7,Tomatoes,207.0,99.51,Victoria
361e37ca-a52f-42ef-aafe-9db602af3e6a,2023-08-26,Épicerie I9,Apples,309.0,100.6,Quebec City
369a7e82-ec2e-42a8-9158-a6d00dd8d4de,2023-02-07,Boutique G7,Apples,199.0,45.63,Calgary
58581d83-b700-4d77-b210-25ae8b05c82b,2024-05-27,Centre E5,Apples,204.0,28.73,Quebec City
1f8dfb72-51d9-487a-a9e8-9461e59ab66d,2023-04-05,Épicerie I9,Ground Beef,147.0,167.65,Winnipeg
a79f71ed-8941-4950-b2c4-58b085fb91a1,2023-12-15,Supermarché A1,Frozen Pizza,352.0,182.12,Edmonton
ad0fc7a6-6098-4caa-b97b-f0e2551e068e,2023-08-24,Épicerie I9,Eggs,121.0,39.08,Quebec City
6b91d77f-9313-461c-956a-7e4ac40e1ec1,2024-07-19,Centre E5,Rice,124.0,15.99,Quebec City
cbdfebda-e119-4203-9810-3fda765bf1c4,2024-01-07,Marché C3,Milk,120.0,100.66,Victoria
19ce3322-2f6d-4e7c-921a-d3bcb03b8807,2023-04-17,Magasin F6,Coffee,340.0,114.59,Montreal
a23510ea-eb87-4952-87ca-15b72ff701aa,2024-06-24,Boutique G7,Peanut Butter,246.0,180.79,Vancouver
3ab80aab-472c-4888-89f3-df7faaf410e4,2024-08-01,Supermarché J0,Yogurt,152.0,84.91,Halifax
66329b24-1694-4938-871c-2654caa3aed9,2023-07-08,Marché H8,Bananas,373.0,21.77,Winnipeg
bba15329-9c06-4914-b2fe-9e5acc6ec2c7,2023-11-16,Boutique G7,Tomatoes,174.0,77.12,Calgary
1c2f7373-2ba5-4a52-b1eb-ad23d87aed97,2023-05-13,Marché C3,Tomatoes,142.0,40.76,Winnipeg
8243bc41-b579-42a9-b357-003e71001ccb,2023-08-05,Marché H8,Orange Juice,211.0,130.03,Calgary
d3f30365-592d-43b7-8432-a70301e2e2b7,2024-03-21,Boutique G7,Yogurt,277.0,28.03,Halifax
a6e8e5fc-3999-40e4-91d0-660874589e9e,2024-11-07,Épicerie I9,Frozen Pizza,225.0,172.01,Toronto
ab6532ec-8319-44c0-901f-d87f863f1b4e,2024-05-25,Magasin F6,Potatoes,379.0,126.57,Calgary
abc1ec84-1782-4540-b226-cf5d6e89e35d,2024-06-07,Épicerie B2,Orange Juice,330.0,182.46,Halifax
7efc9ec6-c76c-4785-8137-90f8485fdd85,2023-11-15,Magasin F6,Pasta,264.0,168.3,Ottawa
7c24ffe8-7c4d-46b8-a4eb-5857ee6748d7,2023-09-03,Marché C3,Frozen Pizza,157.0,165.46,Vancouver
0eab974c-10ad-4327-9c27-7a419f8dbe4f,2023-05-17,Marché H8,Bread,300.0,94.61,Winnipeg
94a880c3-a2b3-4ecf-a69f-792b18a5e339,2023-09-10,Épicerie B2,Cereal,334.0,41.36,Ottawa
c1e8deae-c879-45b2-9bd7-6dca97e9b102,2024-11-25,Supermarché J0,Bread,232.0,116.16,Vancouver
34517031-1382-4ff6-a45a-84f5637aff31,2023-10-30,Magasin F6,Tea,362.0,94.01,Edmonton
7ef54d4b-f867-4a88-b407-403976d78a9f,2023-03-30,Supermarché A1,Coffee,187.0,118.85,Victoria
df871bde-a2e5-4b4b-b6ca-45bb9b89b9c9,2024-09-07,Épicerie B2,Cereal,328.0,146.18,Quebec City
6e1c9239-b650-4b93-be87-aceb93dc52e6,2023-11-04,Magasin F6,Bread,184.0,115.75,Winnipeg
6b892ad3-8e4e-4020-b8c6-1905261d59af,2024-12-24,Magasin F6,Tomatoes,329.0,65.71,Montreal
e04a2ce2-02d4-4af3-bdab-490ee234fe0d,2024-07-03,Marché H8,Pasta,188.0,19.93,Calgary
d5ee6016-bde1-430b-81d1-292f4e38a35b,2024-04-12,Centre E5,Potatoes,341.0,68.49,Calgary
09f33388-8c2e-4a6a-acd2-68a170951244,2023-02-22,Supermarché A1,Tomatoes,412.0,155.63,Toronto
33a1d268-1b2e-4fdf-9889-50ed9bde988c,2023-03-22,Épicerie B2,Eggs,200.0,137.33,Winnipeg
71079168-400f-4fe1-af14-af91b4c81a42,2024-04-22,Centre E5,Tomatoes,133.0,158.58,Vancouver
cd65fa59-2a1a-4dd7-86d3-cee79128bfaa,2023-06-22,Supermarché J0,Chicken Breast,123.0,62.6,Calgary
ba480008-e7d7-47c2-9fed-590a9d309627,2023-05-18,Marché H8,Chicken Breast,213.0,121.53,Quebec City
023131e5-cac8-4dbe-8335-694029749e9a,2024-12-07,Boutique G7,Ice Cream,305.0,77.99,Montreal
1b8f3c10-a31d-4658-91fc-287a26c760a6,2023-12-02,Magasin F6,Ground Beef,263.0,117.94,Toronto
c7284acf-6236-43b4-b3d1-18b8891b8167,2023-06-03,Boutique G7,Peanut Butter,371.0,61.39,Victoria
61c94f09-a7b4-4f14-b6cc-11149d9a9431,2024-02-04,Centre E5,Ground Beef,299.0,53.8,Toronto
ee3b2c57-ad35-48ca-b427-7a30a5dbbb1d,2024-05-26,Épicerie B2,Ice Cream,404.0,88.26,Calgary
7cda9e80-f386-42f3-aca3-01926d39fd63,2023-05-11,Épicerie I9,Milk,132.0,131.36,Halifax
3fceebd2-0ac4-42ed-8060-9d80a2998a6b,2024-05-05,Marché C3,Orange Juice,339.0,84.52,Ottawa
42d9cfd8-1443-449c-97a7-5f17fc73c889,2023-08-12,Magasin F6,Eggs,179.0,138.95,Vancouver
d19900a0-7dc5-49f0-84bc-1ca66d343f39,2024-09-09,Centre E5,Yogurt,175.0,147.75,Vancouver
c1a9e081-cd49-48b0-a3ca-20cfe6d33ea8,2025-01-15,Centre E5,Ground Beef,158.0,31.51,Quebec City
f1026586-e313-47b9-8b9f-608872d1b1b1,2023-03-23,Boutique G7,Bananas,134.0,149.12,Halifax
8fd7ca8e-3438-4191-8e70-af25df0ca103,2024-05-13,Marché C3,Cereal,140.0,94.62,Winnipeg
3b53362d-72cc-477f-91bd-d051f9921a43,2023-10-23,Marché H8,Apples,358.0,76.07,Vancouver
b1868b51-0c49-4147-814d-02aa1b365d19,2024-10-05,Supermarché A1,Yogurt,217.0,26.85,Vancouver
8275827f-bce1-4eb9-883a-61dd8552c714,2023-03-26,Marché C3,Cereal,210.0,24.69,Montreal
ebccca19-ab51-4d54-903a-ee07ff3f2e9a,2023-08-31,Marché C3,Chicken Breast,240.0,163.69,Winnipeg
ffe881b1-d1d9-4d72-ac86-21ebdffda1b6,2023-12-29,Magasin F6,Orange Juice,274.0,158.18,Victoria
e0c87adf-84fb-44c5-8fc8-7272731f7577,2023-04-24,Magasin F6,Pasta,257.0,142.53,Vancouver
b3226ac9-e786-4ce1-af55-13b553710c10,2023-12-14,Supermarché A1,Cheese,303.0,93.08,Toronto
fee07ab5-b8bb-408b-93a2-9e8177bd901f,2023-11-26,Supermarché A1,Cheese,319.0,145.67,Halifax
34638257-8adb-4ab3-9cf3-a40fbd4cdb89,2024-10-30,Supermarché A1,Cereal,239.0,59.5,Toronto
121576fa-aea2-4103-baf5-e192226fd499,2023-02-01,Supermarché A1,Frozen Pizza,226.0,145.36,Quebec City
25d3bacc-9e5e-4cc5-8b23-0d626511dcee,2023-04-24,Épicerie I9,Yogurt,143.0,26.97,Vancouver
6c3888c6-88d2-4d21-a914-8621cc08d701,2024-05-09,Centre E5,Coffee,301.0,180.05,Winnipeg
d0b5da15-6a49-49d8-b0ab-8a77fadd6bbe,2024-08-18,Centre E5,Peanut Butter,151.0,160.07,Ottawa
e4c0af6e-165f-4fa5-84a5-a616eaf2d707,2023-07-06,Magasin F6,Cheese,149.0,19.44,Montreal
bc0e47f0-d332-4ab6-82e9-249378ade190,2023-08-24,Épicerie B2,Frozen Pizza,287.0,114.8,Toronto
00ddb12e-4ee8-4f2f-9498-4361d2ca1d27,2023-11-21,Supermarché J0,Rice,355.0,134.27,Montreal
85afd3af-8513-47d1-9121-d6057c3b28cf,2024-10-21,Supermarché J0,Ice Cream,194.0,151.17,Halifax
c8bfd55e-5a5c-473b-b860-89bb15651912,2023-03-07,Supermarché J0,Bananas,379.0,149.11,Edmonton
e3d64c48-ef6f-40cb-a308-d1e59e899662,2024-02-05,Magasin F6,Peanut Butter,212.0,171.89,Montreal
1e71ff75-37b6-48a8-b471-1fea11d97251,2023-03-24,Supermarché J0,Coffee,251.0,164.4,Edmonton
61f963d9-9fed-415e-9e25-6a36ec9c5564,2023-07-28,Boutique G7,Frozen Pizza,320.0,56.09,Halifax
911d9094-dd06-4665-95fc-8a35a65e43ee,2023-03-07,Supermarché J0,Pasta,255.0,140.16,Toronto
b2935b26-f6cd-4918-9139-598909b506a9,2024-08-14,Centre E5,Coffee,292.0,165.41,Vancouver
2ba4cf74-6d13-464e-9a77-0d9c38d601fc,2024-04-28,Épicerie I9,Pasta,194.0,92.88,Ottawa
2fae8d4a-69af-4170-af24-7d19fbe1196b,2024-01-07,Alimentation D4,Eggs,263.0,185.13,Halifax
69902eb6-5f7a-437a-8fc8-8dba3390ec64,2024-05-12,Épicerie B2,Milk,282.0,176.5,Winnipeg
f630e40e-84c4-4c45-a0e5-bd2b2a326f58,2023-04-07,Épicerie I9,Peanut Butter,132.0,181.39,Quebec City
c1a51e8f-9823-4239-a9c8-638130931604,2023-02-09,Boutique G7,Rice,292.0,14.97,Quebec City
1f76ba0b-488a-45ce-aa49-f28cf025ddb7,2023-08-27,Supermarché A1,Milk,323.0,24.19,Winnipeg
038d17a7-2ccb-472d-a677-5e71d1bd63bf,2024-08-02,Épicerie I9,Coffee,127.0,75.19,Ottawa
cecce4e4-2965-4e30-81ff-9003fb100f9a,2024-09-12,Boutique G7,Rice,191.0,149.92,Quebec City
1ee035d7-1d56-4225-82b5-f8789c64673f,2023-05-20,Marché C3,Potatoes,260.0,64.42,Ottawa
402c2660-7b6e-43ab-97ca-6eaba2db76cd,2024-02-25,Marché C3,Ice Cream,199.0,106.52,Ottawa
0fc3a4bb-7064-4a71-ab9d-6a1deb87e180,2024-08-19,Alimentation D4,Yogurt,132.0,115.26,Winnipeg
eaed3b68-7a95-4041-be07-3b6e95cb0260,2024-12-01,Centre E5,Tea,336.0,84.22,Winnipeg
252a108b-0cbf-4818-bc99-b35e6ea7f191,2023-03-16,Alimentation D4,Tea,230.0,29.58,Halifax
eaacde2f-07a2-46ce-9594-a68a51e02e99,2024-04-29,Épicerie I9,Ground Beef,306.0,95.25,Edmonton
244300b3-f9dc-4a6c-95e8-e9e97441ebcd,2024-12-06,Marché C3,Coffee,366.0,105.28,Ottawa
7f190599-b41f-4f86-bee2-25ce8d4034d2,2024-05-30,Marché H8,Milk,145.0,56.09,Winnipeg
e1b114dc-17a2-457b-b0cc-1427f58eaf8e,2024-09-30,Épicerie I9,Peanut Butter,281.0,24.72,Vancouver
132e852e-9f44-4451-b8fc-6d5c64e0e4b2,2023-05-28,Marché H8,Ice Cream,446.0,36.15,Calgary
a7de4f04-7373-413e-94db-cb33efa0b997,2023-12-20,Centre E5,Cheese,174.0,28.59,Ottawa
e9577b7c-8197-4d80-959c-d214cb8e91be,2023-08-12,Marché C3,Coffee,192.0,79.37,Vancouver
89c4a1db-2fac-4a20-a21b-b3ac957e8111,2023-10-14,Marché H8,Tomatoes,219.0,144.01,Calgary
42682d7a-5882-4829-9649-d03a28799736,2024-01-28,Alimentation D4,Peanut Butter,422.0,119.33,Toronto
6d8c3933-b406-483b-a60c-9f8451ead438,2023-08-06,Épicerie I9,Ice Cream,348.0,184.19,Winnipeg
fe75c78d-4caf-419d-bc6f-374a6c1f97d9,2023-03-18,Marché H8,Eggs,350.0,37.63,Halifax
149adcb6-f465-48b6-a8e8-3e2a26d2b140,2023-02-03,Supermarché A1,Eggs,270.0,67.12,Montreal
003fa757-6da5-41ec-a70f-54ae7b6bce61,2024-09-19,Alimentation D4,Eggs,249.0,52.36,Halifax
7651d47c-fc77-4c03-a787-bb4ab1be26ab,2024-02-16,Supermarché J0,Milk,231.0,72.93,Victoria
ecaea223-b23e-4b89-aa0a-fb53af8161d8,2023-06-15,Épicerie B2,Chicken Breast,377.0,115.82,Winnipeg
c2d6d4bd-0db2-4e12-9789-6b80cc5c94ca,2024-12-12,Épicerie I9,Chicken Breast,245.0,25.89,Halifax
92447b24-5445-4db1-9785-439adb71d55c,2024-09-11,Marché C3,Tomatoes,174.0,35.8,Vancouver
07084761-e220-4ac9-910b-f69f09154c02,2023-07-15,Boutique G7,Tomatoes,271.0,172.46,Edmonton
a3d5d235-bef4-4d11-9e0e-f355eab2f37c,2024-03-01,Alimentation D4,Coffee,131.0,23.99,Calgary
1720a517-df08-49e2-a1a3-9034c060f522,2024-08-18,Supermarché J0,Pasta,148.0,81.9,Halifax
d7b40320-bfd7-4fd1-b159-97be21e925b7,2024-02-09,Supermarché A1,Potatoes,317.0,24.43,Halifax
391ebf58-5f1d-4f78-b183-0661e16d0c28,2024-04-17,Épicerie B2,Ground Beef,177.0,158.95,Quebec City
4c271a51-6e4b-4a50-917e-5c7bdf9996f2,2025-01-16,Centre E5,Bread,383.0,90.49,Victoria
80f68416-0120-471f-bf0e-5eb54bcf9d24,2023-08-03,Marché C3,Bread,281.0,100.59,Calgary
12d3bb2d-6a57-4c11-927b-819e96f398bc,2023-10-27,Boutique G7,Ice Cream,326.0,57.65,Toronto
9cdd72b2-c69c-4c96-b8c9-fac3d8e3684b,2023-12-28,Épicerie I9,Milk,145.0,156.42,Halifax
ab8213d0-1650-4e64-a701-3e46ababed65,2023-04-19,Épicerie I9,Potatoes,143.0,172.0,Toronto
